Design,ipae_score
7z14_l58_s935204_mpnn6,4.530880747126437
7z14_l58_s935204_mpnn1,4.277637931034483
1yi5_l102_s863347_mpnn16,6.709191897347173
1yi5_l102_s863347_mpnn2,6.717908737024221
1yi5_l80_s978636_mpnn2,4.6658051470588235
1yi5_l80_s978636_mpnn16,8.693421875
1yi5_l96_s937110_mpnn9,6.047140778186275
1yi5_l96_s937110_mpnn8,6.4920703125
1yi5_l105_s971412_mpnn2,4.522182072829132
1yi5_l105_s971412_mpnn1,4.449816526610645
1yi5_l83_s181742_mpnn9,5.048808469170801
1yi5_l83_s181742_mpnn14,7.555298547129696
7z14_l88_s201849_mpnn7,12.793663825757577
7z14_l88_s201849_mpnn4,17.120376893939394
9bk6_l78_s583718_mpnn15,7.444619658119658
9bk6_l63_s194277_mpnn10,7.123158730158732
9bk6_l63_s194277_mpnn12,6.565011904761905
9bk6_l96_s759164_mpnn15,16.85267621527778
1yi5_l86_s657243_mpnn5,4.608354993160055
1yi5_l86_s657243_mpnn3,4.649592168262654
1yi5_l102_s388301_mpnn1,4.6755529123414075
1yi5_l102_s388301_mpnn3,18.838312427912342
1yi5_l159_s712800_mpnn15,10.281528856825748
1yi5_l153_s269018_mpnn8,7.284326220684352
1yi5_l159_s712800_mpnn6,16.898241305956343
1yi5_l87_s145491_mpnn1,9.324361899932388
1yi5_l87_s145491_mpnn7,6.284470081135902
1yi5_l88_s642851_mpnn6,12.936652740641712
1yi5_l88_s642851_mpnn2,13.631035260695187
5nq4_l120_s808237_mpnn5,7.573999305555555
5nq4_l120_s808237_mpnn8,14.678209722222222
7z14_l75_s499879_mpnn4,6.886146666666667
9bk6_l177_s64985_mpnn15,7.793871939736346
1yi5_l85_s435547_mpnn5,5.2469636678200695
1yi5_l84_s615725_mpnn14,4.010278361344538
1yi5_l83_s980977_mpnn2,7.344153082919915
1yi5_l83_s980977_mpnn1,6.64343639262934
5nq4_l88_s194736_mpnn6,3.905694128787879
5nq4_l88_s194736_mpnn5,3.9783172348484848
5nq4_l86_s533102_mpnn8,4.895520348837209
5nq4_l86_s533102_mpnn6,4.291525193798449
1yi5_l93_s339182_mpnn7,6.929921726755218
1yi5_l81_s553590_mpnn4,5.7674055918663765
1yi5_l81_s553590_mpnn2,6.027126906318083
1yi5_l77_s273340_mpnn4,5.527564935064936
1yi5_l77_s273340_mpnn10,5.239718296409473
1yi5_l96_s812252_mpnn14,5.336704963235293
1yi5_l96_s23541_mpnn13,5.7639453125
1yi5_l96_s23541_mpnn2,6.602679993872549
1yi5_l163_s630505_mpnn7,23.114110880548537
1yi5_l163_s630505_mpnn11,4.761709220498015
1yi5_l145_s780888_mpnn4,5.598508113590263
1yi5_l145_s780888_mpnn2,6.0125988843813385
1yi5_l162_s755634_mpnn4,5.598272512708787
1yi5_l76_s283689_mpnn4,8.670093846749227
1yi5_l76_s283689_mpnn2,3.9767424535603717
1yi5_l102_s199318_mpnn17,4.966349480968859
1yi5_l102_s757028_mpnn6,14.8108196366782
9bk6_l69_s359483_mpnn1,8.437502415458937
9bk6_l70_s246564_mpnn4,18.497575
9bk6_l70_s246564_mpnn8,7.843935714285713
9bk6_l69_s359483_mpnn2,19.96235265700483
9bk6_l62_s587850_mpnn11,7.778436827956989
9bk6_l62_s587850_mpnn17,20.11788440860215
1yi5_l100_s113509_mpnn2,16.891158088235294
1yi5_l100_s113509_mpnn3,17.143420588235294
5nq4_l84_s3585_mpnn4,4.568372023809524
1yi5_l71_s410847_mpnn1,8.455938276719138
1yi5_l71_s410847_mpnn4,7.8081917978458995
1yi5_l64_s477870_mpnn4,7.966824448529412
1yi5_l64_s477870_mpnn1,14.802304687500001
1yi5_l63_s878730_mpnn2,8.561433239962652
1yi5_l63_s878730_mpnn3,4.059639355742297
7z14_l79_s855285_mpnn3,4.284855485232067
7z14_l79_s855285_mpnn2,4.738231012658228
1yi5_l106_s791662_mpnn18,5.260033990011099
1yi5_l88_s984765_mpnn2,5.661798963903744
1yi5_l88_s984765_mpnn3,7.345313335561498
1yi5_l102_s553972_mpnn6,18.266587370242213
1yi5_l102_s553972_mpnn12,15.31060409457901
9bk6_l90_s765271_mpnn14,9.530221296296297
9bk6_l90_s765271_mpnn4,8.460343518518519
1yi5_l102_s209387_mpnn2,6.174088811995386
1yi5_l102_s209387_mpnn3,6.5136591695501735
1yi5_l100_s750967_mpnn2,5.5232448529411755
1yi5_l100_s750967_mpnn18,5.06528455882353
1yi5_l96_s984429_mpnn16,6.149219515931373
9bk6_l62_s416056_mpnn2,5.775942204301075
9bk6_l62_s416056_mpnn1,5.9128077956989245
9bk6_l65_s522910_mpnn8,9.932052564102564
9bk6_l65_s522910_mpnn2,11.264784615384617
9bk6_l71_s11182_mpnn16,8.389769953051642
9bk6_l71_s11182_mpnn15,8.104353286384976
9bk6_l61_s28166_mpnn2,6.637987704918034
9bk6_l61_s28166_mpnn6,7.515173497267759
9bk6_l71_s802405_mpnn7,6.794499999999999
9bk6_l71_s802405_mpnn3,7.0493180751173705
9bk6_l69_s766278_mpnn2,6.579179951690822
